t (ms),V (mV)
0,16.69
1.051,16.58
2.101,16.63
3.15,16.51
4.184,16.54
5.183,16.5
6.183,16.47
7.183,16.44
8.183,16.4
9.184,16.37
10.184,16.33
11.183,16.3
12.184,16.26
13.183,16.23
14.184,16.2
15.183,16.16
16.184,16.13
17.183,16.09
18.184,16.06
19.183,16.02
20.183,15.98
21.184,15.95
22.183,15.91
23.183,15.88
24.183,15.84
25.184,15.81
26.184,15.77
27.184,15.74
28.187,15.67
29.184,15.67
30.183,15.63
31.184,15.6
32.183,15.56
33.183,15.53
34.184,15.5
35.184,15.46
36.183,15.43
37.183,15.39
38.184,15.36
39.184,15.33
40.183,15.29
41.183,15.26
42.184,15.23
43.183,15.19
44.183,15.15
45.183,15.12
46.183,15.09
47.183,15.06
48.183,15.02
49.184,14.99
50.183,14.95
51.183,14.92
52.184,14.89
53.183,14.85
54.183,14.82
55.183,14.78
56.183,14.75
57.184,14.72
58.183,14.68
59.184,14.65
60.183,14.61
61.184,14.59
62.184,14.55
63.183,14.51
64.183,14.48
65.184,14.46
66.184,14.42
67.184,14.39
68.184,14.36
69.183,14.32
70.183,14.29
71.183,14.25
72.184,14.23
73.184,14.2
74.183,14.16
75.184,14.14
76.183,14.1
77.184,14.08
78.184,14.06
79.184,14.02
80.183,13.99
81.184,13.97
82.183,13.93
83.183,13.9
84.184,13.88
85.183,13.85
86.183,13.82
87.184,13.8
88.183,13.76
89.184,13.74
90.183,13.71
91.183,13.68
92.184,13.66
93.184,13.63
94.183,13.6
95.183,13.57
96.184,13.55
97.183,13.52
98.183,13.49
99.183,13.46
100.183,13.44
101.184,13.42
102.184,13.39
103.184,13.36
104.183,13.33
105.183,13.3
106.184,13.28
107.184,13.25
108.184,13.22
109.183,13.19
110.183,13.17
111.184,13.14
112.184,13.11
113.184,13.08
114.183,13.05
115.183,13.02
116.183,12.99
117.184,12.97
118.183,12.94
119.183,12.92
120.184,12.88
121.184,12.86
122.184,12.83
123.184,12.81
124.183,12.77
125.183,12.75
126.184,12.72
127.184,12.7
128.183,12.66
129.183,12.64
130.183,12.62
131.184,12.59
132.183,12.56
133.184,12.53
134.183,12.51
135.183,12.47
136.183,12.47
137.183,12.43
138.183,12.41
139.182,12.38
140.184,12.35
141.183,12.32
142.183,12.3
143.183,12.27
144.184,12.23
145.183,12.21
146.183,12.19
147.184,12.16
148.183,12.14
149.183,12.12
150.183,12.08
151.184,12.06
152.183,12.04
153.184,12.01
154.184,11.98
155.183,11.97
156.183,11.93
157.184,11.91
158.183,11.88
159.183,11.87
160.183,11.84
161.184,11.82
162.183,11.79
163.184,11.76
164.183,11.75
165.183,11.74
166.184,11.7
167.183,11.68
168.184,11.67
169.184,11.64
170.183,11.62
171.184,11.59
172.183,11.59
173.183,11.55
174.185,11.53
175.184,11.51
176.183,11.5
177.184,11.47
178.184,11.45
179.184,11.43
180.183,11.41
181.183,11.38
182.183,11.36
183.183,11.34
184.183,11.31
185.183,11.29
186.183,11.26
187.183,11.24
188.183,11.22
189.183,11.19
190.183,11.16
191.184,11.15
192.184,11.12
193.184,11.1
194.183,11.07
195.184,11.05
196.184,11.03
197.183,11
198.184,10.98
199.183,10.95
200.184,10.93
201.184,10.91
202.184,10.88
203.184,10.86
204.183,10.83
205.183,10.8
206.183,10.78
207.184,10.76
208.184,10.74
209.184,10.71
210.184,10.69
211.183,10.65
212.183,10.63
213.183,10.61
214.182,10.58
215.183,10.56
216.183,10.54
217.185,10.54
218.183,10.49
219.183,10.47
220.182,10.44
221.182,10.42
222.182,10.4
223.182,10.38
224.183,10.36
225.183,10.34
226.182,10.32
227.183,10.3
228.183,10.28
229.182,10.25
230.182,10.23
231.182,10.21
232.182,10.19
233.182,10.17
234.182,10.15
235.182,10.13
236.182,10.11
237.182,10.09
238.183,10.07
239.183,10.05
240.183,10.03
241.183,10.01
242.184,9.99
243.184,9.97
244.183,9.95
245.184,9.93
246.184,9.91
247.184,9.89
248.184,9.87
249.184,9.85
250.183,9.83
251.184,9.81
252.184,9.79
253.184,9.77
254.184,9.75
255.183,9.73
256.184,9.71
257.183,9.69
258.184,9.67
259.183,9.65
260.183,9.63
261.183,9.61
262.183,9.59
263.183,9.57
264.183,9.55
265.183,9.53
266.184,9.51
267.184,9.5
268.184,9.48
269.184,9.46
270.183,9.44
271.183,9.42
